idx,x,y,z,nx,ny,nz,dx,dy,dz,seg_len,cumulative_len
113,0.262701,0.390624,0.758502,-0.103289,-0.822347,0.559533,0.993760,-0.073965,0.083485,0.006044,0.521009
114,0.268698,0.390486,0.759704,-0.145742,-0.832359,0.534732,0.990835,-0.097337,0.093652,0.006118,0.527127
115,0.274088,0.389390,0.761072,-0.176630,-0.842338,0.509184,0.987107,-0.123899,0.101331,0.005668,0.532795
116,0.278546,0.388309,0.762317,-0.210833,-0.851383,0.480308,0.982459,-0.153240,0.106263,0.004753,0.537548
117,0.283036,0.387337,0.763032,-0.247724,-0.862283,0.441702,0.976890,-0.184955,0.107136,0.004650,0.542197
118,0.286126,0.386646,0.763217,-0.278317,-0.872458,0.401692,0.970495,-0.217657,0.103752,0.003172,0.545369
119,0.289553,0.386090,0.763812,-0.311281,-0.879363,0.360312,0.963216,-0.250872,0.096319,0.003522,0.548891
120,0.294038,0.385283,0.764523,-0.348183,-0.881372,0.319299,0.955117,-0.283813,0.084860,0.004612,0.553503
121,0.298703,0.384656,0.765253,-0.380843,-0.881096,0.280407,0.946490,-0.315103,0.069757,0.004763,0.558266
122,0.303396,0.384182,0.766484,-0.406663,-0.882539,0.236115,0.937571,-0.344024,0.051073,0.004875,0.563141
123,0.308507,0.382136,0.767694,-0.422287,-0.885523,0.193709,0.928798,-0.369396,0.029678,0.005637,0.568779
124,0.312172,0.379597,0.768410,-0.438207,-0.886147,0.150728,0.920840,-0.389880,0.006914,0.004515,0.573293
125,0.315834,0.377008,0.768883,-0.441376,-0.889450,0.118598,0.913815,-0.405781,-0.016854,0.004510,0.577803
126,0.319145,0.374182,0.768632,-0.438630,-0.894316,0.088328,0.908031,-0.416905,-0.040871,0.004361,0.582164
127,0.321791,0.372036,0.767935,-0.423181,-0.904004,0.060785,0.904496,-0.421626,-0.064175,0.003477,0.585641
128,0.324617,0.370141,0.767319,-0.422352,-0.906151,0.022564,0.903549,-0.419686,-0.086383,0.003458,0.589099
129,0.327407,0.368400,0.766455,-0.420009,-0.907375,-0.016203,0.904716,-0.412485,-0.106516,0.003400,0.592499
130,0.330098,0.366375,0.765563,-0.400122,-0.915391,-0.044291,0.907719,-0.400893,-0.123819,0.003484,0.595983
131,0.332893,0.364256,0.764638,-0.392297,-0.917150,-0.070274,0.912282,-0.385468,-0.138404,0.003628,0.599610
132,0.336231,0.362581,0.763671,-0.386862,-0.917489,-0.092476,0.918064,-0.366867,-0.150223,0.003858,0.603469
133,0.339776,0.360950,0.762728,-0.380434,-0.919119,-0.102420,0.924896,-0.345530,-0.158673,0.004014,0.607483
134,0.343940,0.358912,0.761694,-0.355507,-0.928553,-0.106786,0.932456,-0.321974,-0.163885,0.004750,0.612233
135,0.348161,0.357086,0.760497,-0.335193,-0.935480,-0.111905,0.940346,-0.296891,-0.166147,0.004752,0.616985
136,0.352229,0.355848,0.759289,-0.313403,-0.942730,-0.114184,0.948464,-0.270465,-0.165121,0.004421,0.621405
137,0.357789,0.355289,0.758614,-0.290791,-0.950108,-0.112851,0.956434,-0.243559,-0.160977,0.005629,0.627035
138,0.362366,0.355365,0.757953,-0.261128,-0.958945,-0.110616,0.963732,-0.217965,-0.153985,0.004625,0.631660
139,0.367051,0.354575,0.757233,-0.243013,-0.964899,-0.099568,0.970227,-0.194421,-0.144432,0.004805,0.636464
140,0.372062,0.354836,0.756908,-0.221466,-0.971077,-0.089236,0.975735,-0.173410,-0.133680,0.005028,0.641493
141,0.376016,0.355376,0.756397,-0.195000,-0.977419,-0.081404,0.980149,-0.155799,-0.122614,0.004023,0.645516
142,0.380064,0.355110,0.755956,-0.171702,-0.982540,-0.071645,0.983769,-0.140797,-0.111242,0.004081,0.649597
143,0.384197,0.354895,0.755764,-0.152635,-0.986524,-0.058928,0.986762,-0.127521,-0.100196,0.004143,0.653739
144,0.387471,0.354799,0.755155,-0.131117,-0.990290,-0.046206,0.989140,-0.116276,-0.089900,0.003332,0.657071
145,0.391654,0.354260,0.754722,-0.112341,-0.993234,-0.029422,0.991030,-0.106854,-0.080256,0.004240,0.661311
146,0.395475,0.353482,0.754548,-0.096410,-0.995271,-0.011823,0.992544,-0.098639,-0.071605,0.003903,0.665214
147,0.399227,0.352585,0.754419,-0.076486,-0.997048,0.006786,0.993809,-0.091099,-0.063597,0.003860,0.669074
148,0.403341,0.351819,0.754272,-0.074108,-0.996916,0.025822,0.994934,-0.083659,-0.055739,0.004187,0.673261
