idx,x,y,z,nx,ny,nz,dx,dy,dz,seg_len,cumulative_len
144,0.043278,0.322940,0.675456,0.132727,-0.982262,0.132456,-0.982159,-0.121016,0.143940,0.004274,0.607780
145,0.039134,0.322128,0.675834,0.141034,-0.981668,0.128207,-0.982920,-0.130097,0.130162,0.004240,0.612020
146,0.034982,0.321344,0.676211,0.148655,-0.980719,0.126853,-0.983379,-0.137568,0.118495,0.004242,0.616262
147,0.030867,0.320646,0.676582,0.156346,-0.979719,0.125328,-0.983598,-0.143045,0.109873,0.004190,0.620452
148,0.026749,0.320010,0.676963,0.159824,-0.979541,0.122291,-0.983846,-0.147133,0.101976,0.004184,0.624637
149,0.022612,0.319484,0.677328,0.162694,-0.979602,0.117943,-0.984066,-0.150185,0.095171,0.004186,0.628823
150,0.018453,0.318954,0.677696,0.158567,-0.979870,0.121292,-0.984173,-0.152180,0.090804,0.004209,0.633032
151,0.014319,0.318338,0.678085,0.154417,-0.979979,0.125683,-0.984261,-0.153279,0.087958,0.004198,0.637230
152,0.010164,0.317717,0.678472,0.156975,-0.980127,0.121286,-0.984328,-0.153896,0.086108,0.004218,0.641448
153,0.006036,0.317022,0.678870,0.160030,-0.980187,0.116721,-0.984383,-0.154067,0.085165,0.004205,0.645653
154,0.001924,0.316311,0.679264,0.157955,-0.981283,0.110154,-0.984527,-0.153419,0.084671,0.004192,0.649845
155,-0.002201,0.315531,0.679640,0.158844,-0.981917,0.102993,-0.984794,-0.151855,0.084383,0.004215,0.654060
156,-0.006330,0.314734,0.679995,0.159726,-0.982500,0.095821,-0.985159,-0.149485,0.084353,0.004220,0.658280
157,-0.010520,0.313870,0.680405,0.155552,-0.983231,0.095184,-0.985593,-0.146481,0.084556,0.004298,0.662577
158,-0.014711,0.313060,0.680750,0.150743,-0.984079,0.094153,-0.986051,-0.143081,0.085037,0.004283,0.666860
159,-0.018858,0.312422,0.681040,0.148198,-0.984618,0.092542,-0.986599,-0.138783,0.085805,0.004206,0.671066
160,-0.023085,0.312196,0.681330,0.145470,-0.985158,0.091116,-0.987314,-0.132962,0.086793,0.004242,0.675308
161,-0.027300,0.312140,0.681473,0.134795,-0.986795,0.089811,-0.988167,-0.125628,0.087994,0.004218,0.679526
162,-0.031441,0.311487,0.681789,0.128562,-0.987342,0.092881,-0.989102,-0.117013,0.089355,0.004204,0.683730
163,-0.035496,0.310771,0.682043,0.114625,-0.988758,0.096017,-0.990057,-0.107375,0.090870,0.004126,0.687856
164,-0.039650,0.310157,0.682407,0.103046,-0.989299,0.103294,-0.990962,-0.097129,0.092520,0.004214,0.692071
165,-0.043836,0.309518,0.682819,0.089935,-0.989789,0.110590,-0.991793,-0.086449,0.094192,0.004254,0.696325
166,-0.048011,0.308569,0.683252,0.084344,-0.988871,0.122555,-0.992577,-0.075045,0.095700,0.004303,0.700629
167,-0.052357,0.308047,0.683775,0.074873,-0.987764,0.136805,-0.993311,-0.062932,0.096810,0.004408,0.705037
168,-0.056801,0.307743,0.684267,0.064466,-0.986490,0.150601,-0.993965,-0.050443,0.097415,0.004482,0.709519
169,-0.061387,0.307427,0.684855,0.056605,-0.984504,0.165976,-0.994526,-0.037598,0.097488,0.004634,0.714153
170,-0.065984,0.307142,0.685458,0.046999,-0.981898,0.183487,-0.994969,-0.024976,0.097016,0.004645,0.718798
171,-0.070454,0.307334,0.685911,0.043444,-0.980084,0.193774,-0.995281,-0.013499,0.096089,0.004497,0.723295
172,-0.074838,0.307439,0.686395,0.038549,-0.978339,0.203388,-0.995492,-0.003533,0.094781,0.004412,0.727707
173,-0.079137,0.308025,0.686837,0.026077,-0.974791,0.221589,-0.995641,0.004904,0.093141,0.004361,0.732068
174,-0.083441,0.308444,0.687334,0.018361,-0.971577,0.236010,-0.995746,0.011813,0.091378,0.004354,0.736421
175,-0.087597,0.308917,0.687789,0.012715,-0.967550,0.252359,-0.995825,0.017105,0.089661,0.004207,0.740629
176,-0.091725,0.309105,0.688219,0.008578,-0.963611,0.267170,-0.995907,0.020359,0.088058,0.004154,0.744783
177,-0.095873,0.309246,0.688685,0.004463,-0.959454,0.281830,-0.996016,0.020866,0.086697,0.004177,0.748960
178,-0.100070,0.309395,0.689056,0.013071,-0.956880,0.290191,-0.996147,0.018586,0.085702,0.004216,0.753176
179,-0.104288,0.309567,0.689395,0.020047,-0.953731,0.299991,-0.996300,0.013673,0.084843,0.004235,0.757410
180,-0.108645,0.309807,0.689618,0.024875,-0.950488,0.309764,-0.996458,0.006112,0.083866,0.004370,0.761780
