idx,x,y,z,nx,ny,nz,seg_len,cumulative_len
275,-0.027855,0.317269,0.718433,0.112476,-0.950096,0.290977,0.004127,1.052248
276,-0.027938,0.316322,0.714392,0.039514,-0.974125,0.222529,0.004152,1.056400
277,-0.028071,0.315428,0.710289,0.038507,-0.949306,0.311987,0.004201,1.060601
278,-0.028229,0.314593,0.706116,0.161852,-0.973911,0.159062,0.004259,1.064859
279,-0.028394,0.313836,0.701931,0.223910,-0.961123,0.161578,0.004256,1.069115
280,-0.028591,0.313181,0.697763,0.152994,-0.982256,0.108473,0.004223,1.073339
281,-0.028785,0.312577,0.693551,0.149972,-0.987249,0.053371,0.004259,1.077598
282,-0.029014,0.312093,0.689331,0.149972,-0.987249,0.053371,0.004255,1.081853
283,-0.029283,0.311629,0.685100,0.111573,-0.986088,0.123216,0.004265,1.086117
284,-0.029512,0.311193,0.680905,0.111573,-0.986088,0.123216,0.004224,1.090341
285,-0.029739,0.310757,0.676748,0.130854,-0.986808,0.095328,0.004186,1.094527
286,-0.029904,0.310329,0.672496,0.130854,-0.986808,0.095328,0.004277,1.098803
287,-0.030044,0.309940,0.668185,0.137007,-0.985047,0.104459,0.004331,1.103134
288,-0.030266,0.309682,0.663694,0.137007,-0.985047,0.104459,0.004504,1.107638
289,-0.030475,0.309586,0.659153,0.189238,-0.981659,0.023101,0.004547,1.112185
290,-0.030652,0.309669,0.654628,0.193950,-0.980842,0.018212,0.004529,1.116715
291,-0.030890,0.309880,0.650266,0.101532,-0.987294,-0.122240,0.004374,1.121088
292,-0.031012,0.310210,0.645861,0.102205,-0.993836,-0.042947,0.004419,1.125507
293,-0.031191,0.310583,0.641615,0.301928,-0.935018,-0.185957,0.004267,1.129773
294,-0.031363,0.310950,0.637369,0.370981,-0.927403,-0.047924,0.004265,1.134039
295,-0.031778,0.311283,0.633178,0.370981,-0.927403,-0.047924,0.004224,1.138263
296,-0.032206,0.311606,0.629036,0.371295,-0.928188,0.024627,0.004177,1.142440
297,-0.032678,0.311881,0.624917,0.371295,-0.928188,0.024627,0.004155,1.146595
298,-0.033060,0.312100,0.620698,0.029774,-0.993540,-0.109505,0.004242,1.150837
299,-0.033544,0.312346,0.616394,0.067073,-0.986967,-0.146277,0.004338,1.155175
300,-0.034055,0.312671,0.612041,0.067498,-0.993223,-0.094616,0.004395,1.159569
301,-0.034596,0.313094,0.607731,0.134705,-0.990693,0.019549,0.004364,1.163934
302,-0.034843,0.313563,0.603531,0.185047,-0.968033,-0.169319,0.004233,1.168167
303,-0.035127,0.314016,0.599362,0.185047,-0.968033,-0.169319,0.004203,1.172370
304,-0.035422,0.314477,0.595152,0.177148,-0.978865,-0.102184,0.004245,1.176615
305,-0.035771,0.314995,0.590877,0.149713,-0.980148,-0.129985,0.004321,1.180937
306,-0.036145,0.315509,0.586721,0.149870,-0.981175,-0.121796,0.004204,1.185141
307,-0.036525,0.316042,0.582570,0.133890,-0.981365,-0.137828,0.004203,1.189343
308,-0.036911,0.316617,0.578400,0.134269,-0.984143,-0.115909,0.004226,1.193569
309,-0.037309,0.317286,0.574305,0.196627,-0.964067,-0.178641,0.004169,1.197739
310,-0.037769,0.318057,0.570257,0.195479,-0.958438,-0.207811,0.004146,1.201885
311,-0.038171,0.318925,0.566196,0.211010,-0.951647,-0.223254,0.004172,1.206057
312,-0.038583,0.319857,0.562153,0.204368,-0.921693,-0.329721,0.004170,1.210227
313,-0.038953,0.320866,0.558256,0.204368,-0.921693,-0.329721,0.004042,1.214268
314,-0.039315,0.321959,0.554411,0.139335,-0.962475,-0.232870,0.004014,1.218282
